Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.978	489	0.0	46
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Proteiniphilum	0.54	495	0.0	2
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella	0.551	491	0.0	2075
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.7	491	0.0	11117
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.689	489	0.0	8
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Hallella	0.674	491	0.0	93135
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.878	492	0.0	22785
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.677	491	0.0	85
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter	0.593	497	0.0	2233
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.611	492	0.0	1674
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.966	487	0.0	51962
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.607	489	0.0	5672
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.542	488	0.0	2105
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0.5	490	0.0	6
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter	0.959	472	0.0	10
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Meniscus	0.533	492	0.0	36
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae	0.544	483	0.0	118
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Aureibacter	0.577	475	0.0	3
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Limibacter	0.549	490	0.0	57
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Sediminitomix	0.545	492	0.0	4
d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Thermonema	0.57	476	0.0	2
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.535	491	0.0	415
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	0.513	486	0.0	6
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Wandonia	0.544	470	0.0	5
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.572	488	0.0	49
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	1.0	474	0.0	2
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium	0.958	475	0.0	21
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cloacibacterium	0.974	479	0.0	1166
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Elizabethkingia	1.0	479	0.0	3
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.923	477	0.0	15
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Soonwooa	0.742	493	0.0	4
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae	0.512	388	0.0	6
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Hydrotalea	0.547	252	0.0	3
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Lacibacter	0.721	486	0.0	17
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Parasegetibacter	0.569	334	0.0	16
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Segetibacter	0.867	484	0.0	3
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.76	485	0.0	4
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter	1.0	482	0.0	2
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Nubsella	0.573	500	0.0	3
d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0.967	490	0.0	3
d__Bacteria;p__candidate division ZB3;c__ZB3_genera_incertae_sedis;o__ZB3_genera_incertae_sedis;f__ZB3_genera_incertae_sedis;g__ZB3_genera_incertae_sedis	0.5	483	0.0	2
d__Bacteria;p__Candidatus Saccharibacteria;c__Saccharibacteria_genera_incertae_sedis;o__Saccharibacteria_genera_incertae_sedis;f__Saccharibacteria_genera_incertae_sedis;g__Saccharibacteria_genera_incertae_sedis	0.969	503	0.0	43835
d__Bacteria;p__Chloroflexi	0.542	346	0.0	43
d__Bacteria;p__Chloroflexi;c__Thermomicrobia	0.53	465	0.0	1
d__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__Chloroplast;f__Chloroplast	0.61	437	0.0	1
d__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__Chloroplast;f__Chloroplast;g__Chlorophyta	0.73	462	0.0	4
d__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__Chloroplast;f__Chloroplast;g__Streptophyta	0.983	438	0.0	887
d__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria;o__Family I;f__Family I;g__GpI	1.0	435	0.0	1
d__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	0.988	490	0.0	13619
d__Bacteria;p__Firmicutes	0.798	496	0.0	84081
d__Bacteria;p__Firmicutes;c__Bacilli	0.581	502	0.0	10309
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.624	503	0.0	116
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 1	0.57	493	0.0	8
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 1;g__Anoxybacillus	0.996	498	0.0	21
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 1;g__Bacillus	0.888	497	0.0	32
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 1;g__Geobacillus	0.98	500	0.0	32
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 2	0.77	505	0.0	10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 2;g__Ornithinibacillus	0.975	511	0.0	104
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae 2;g__Paucisalibacillus	0.64	512	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae Sedis XI;g__Gemella	0.937	495	0.0	26
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae Sedis XII;g__Exiguobacterium	1.0	508	0.0	3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Brochothrix	1.0	497	0.0	9
